id,category,priority,platform,year,title,authors,journal,doi,arxiv,url,relation,novelty_risk,recommended_use,caveat
C01,競合・基礎先行,必読,一般EIT,2005,Electromagnetically induced transparency: Optics in coherent media,M. Fleischhauer; A. Imamoglu; J. P. Marangos,"Reviews of Modern Physics 77, 633",10.1103/RevModPhys.77.633,,https://doi.org/10.1103/RevModPhys.77.633,標準的な3準位EIT、線形感受率、dark-state polaritonの基準文献。,通常のEIT条件、感受率導出、暗状態の説明自体は新規性にならない。,導入と記号規約の基準。提案理論がどの仮定を拡張するかを明示する。,多励起準位の熱的統合と結晶対称性によるno-goは中心課題ではない。
C02,競合・基礎先行,必読,一般多準位,1983,Reduction of degenerate two-level excitation to independent two-state systems,J. R. Morris; B. W. Shore,"Physical Review A 27, 906",10.1103/PhysRevA.27.906,,https://doi.org/10.1103/PhysRevA.27.906,結合行列をbright/dark部分空間へ分解するMorris-Shore変換。,結合ベクトルのrank/nullspaceによるexact dark state判定は既知。,rank[p c]=1を定理の新規部分ではなく補題として位置づける。,散逸、周波数依存Green関数、熱的merged-manifoldは扱わない。
C03,競合・基礎先行,高,一般多準位,2006,Extension of the Morris-Shore transformation to multilevel systems,A. A. Rangelov; N. V. Vitanov; B. W. Shore,"Physical Review A 74, 053402",10.1103/PhysRevA.74.053402,,https://doi.org/10.1103/PhysRevA.74.053402,Morris-Shore変換をより一般の多準位結合へ拡張。,一般多準位のbright/dark分解を独自主張できない。,Hilbert-space側の暗状態分類の先行研究として引用。,実測EIT contrastや非Hermitian応答核とは別問題。
C04,競合・直接先行,最重要,アルカリ原子・多励起準位,2011,Electromagnetically induced transparency in an inhomogeneously broadened Lambda transition with multiple excited levels,O. S. Mishina et al.,"Physical Review A 83, 053809",10.1103/PhysRevA.83.053809,1101.6039,https://doi.org/10.1103/PhysRevA.83.053809,複数励起準位とDoppler/不均一広がりがEITを低下させることを具体的に計算。,『多励起準位の干渉でEITが消える』という現象論だけでは既存研究との差が弱い。,提案する基底不変kernel K=p†G_ecが、この成分和をどう一般化するかを明示する。,原子気体中心。結晶対称性、complete-manifold closure、材料分類は扱わない。
C05,競合・直接先行,最重要,一般開放量子系,2019,Classification of dark states in multilevel dissipative systems,D. Finkelstein-Shapiro; S. Felicetti; T. Hansen; T. Pullerits; A. Keller,"Physical Review A 99, 053829",10.1103/PhysRevA.99.053829,1810.06648,https://doi.org/10.1103/PhysRevA.99.053829,Lindblad散逸系でstationary dark stateの存在、純度、多重度を分類。,散逸を含む暗状態存在条件を一般論として主張すると直接競合する。,Liouville-space定式化と、Hilbert-space kernelの成立条件を明確化する際の基準。,線形光学応答の温度依存kernelや固体材料の対称性分類とは目的が異なる。
C06,競合・直接先行,最重要,一般多準位,2025,Simple determination of dark states in a general multi-level system,K. Zhou; J. Wu; J. Shi; T. Byrnes,"Journal of Physics A 58, 095303",10.1088/1751-8121/adb7a8,2211.16832,https://doi.org/10.1088/1751-8121/adb7a8,ground-excited結合部分行列の右特異ベクトルとしてdark stateを決定。,SVD/rank条件を新しい一般定理として提示できない。,exact dark stateとfinite EITを分離し、提案理論の新規対象が後者であることを示す。,周波数依存応答、散逸、熱的merged limitを中心には扱わない。
C07,競合・直接先行,最重要,一般多準位,2026,General dark-state theory for arbitrary multilevel quantum systems,X. Zhao; L.-M. Kuang; J.-Q. Liao,"Physical Review A 113, 013723",10.1103/k7vj-b3jy,2510.05561,https://doi.org/10.1103/k7vj-b3jy,任意結合配置の多準位系をarrowhead matrixと二部グラフで分類。,『任意多準位系の一般dark-state理論』というタイトル/主張は競合済み。,論文タイトルと主張を『thermal merged-manifold symmetry theorem』へ限定する根拠。,2026年の最新直接競合。投稿前に全文比較が必須。
C08,競合・周辺先行,中,縮退原子遷移,2003,Temporal buildup of electromagnetically induced transparency and absorption resonances in degenerate two-level transitions,P. Valente; H. Failache; A. Lezama,"Physical Review A 67, 013806",10.1103/PhysRevA.67.013806,,https://doi.org/10.1103/PhysRevA.67.013806,縮退した多Zeeman準位でのEIT/EIAと時間発展。,縮退多準位における干渉経路・偏光依存は広い先行分野がある。,偏光tensorと縮退manifoldの扱いを原子系先行研究へ接続。,固体のphonon broadeningやcomplete manifold closureとは異なる。
C09,競合・直接先行,高,希土類固体,2019,Electromagnetically induced transparency in inhomogeneously broadened rare-earth-doped solids,H. Q. Fan et al.,"Physical Review A 99, 053821",10.1103/PhysRevA.99.053821,,https://doi.org/10.1103/PhysRevA.99.053821,不均一広がりを持つ希土類固体でEITを理論・実験的に評価。,固体中の広がりを含むEIT一般化というだけでは既存。,熱的homogeneous mergingとstatic inhomogeneous broadeningを区別する。,p†cの対称性no-goより、分布平均と実験線形状が主題。
C10,競合・判定基準,高,一般EIT,2011,Objectively discerning Autler-Townes splitting from electromagnetically induced transparency,P. M. Anisimov; J. P. Dowling; B. C. Sanders,"Physical Review Letters 107, 163604",10.1103/PhysRevLett.107.163604,,https://doi.org/10.1103/PhysRevLett.107.163604,EITとAutler-Townes splittingをモデル選択で区別。,control印加によるdipを自動的にEIT contrastと呼べない。,数値・実験検証で干渉由来EITとATSを判別する基準を導入。,多励起準位の対称性定理ではない。
C11,競合・直接先行,高,アルカリ原子・広がり,2011,Enhancing electromagnetically-induced transparency in a multilevel broadened medium,M. Scherman; O. S. Mishina; P. Lombardi; E. Giacobino; J. Laurat,arXiv:1106.0988,,1106.0988,https://arxiv.org/abs/1106.0988,多励起準位と広がりでvanishing transparencyが生じ、速度分布整形で回復できることを示す。,no-go/escapeという語彙だけでは差別化できない。,escape mechanismを『重み付けを不均一化する操作』として統一的に再解釈する。,原子速度分布の操作であり、結晶対称性起源の厳密nullとは異なる。
S01,補強・NV実験,必読,NV-,2013,Electromagnetically induced transparency in a diamond spin ensemble enables all-optical electromagnetic field sensing,V. M. Acosta; K. Jensen; C. Santori; D. Budker; R. G. Beausoleil,"Physical Review Letters 110, 213605",10.1103/PhysRevLett.110.213605,,https://doi.org/10.1103/PhysRevLett.110.213605,低温NV ensembleでEITを実証。resolved-state側の主要benchmark。,NVでEITが起こること自体は既知。,同一モデルが低温EITと高温collapseを再現する検証点。,室温merged-manifoldを直接検証していない。
S02,補強・NV実験,高,NV-,2006,Coherent population trapping of single spins in diamond under optical excitation,C. Santori et al.,"Physical Review Letters 97, 247401",10.1103/PhysRevLett.97.247401,,https://doi.org/10.1103/PhysRevLett.97.247401,単一NVでCPTを観測し、resolved optical Lambdaの存在を示す。,低温CPTの説明は先行済み。,full-manifold no-goが低温resolved-subset CPTを排除しないことの実証例。,spin mixingと選択準位に依存。
S03,補強・NV構造,高,NV-,2009,Low temperature studies of the excited-state structure of negatively charged nitrogen-vacancy color centers in diamond,A. Batalov et al.,"Physical Review Letters 102, 195506",10.1103/PhysRevLett.102.195506,,https://doi.org/10.1103/PhysRevLett.102.195506,NV励起状態fine structureとstrain依存の実験基盤。,NV励起Hamiltonian自体は確立済み。,H_eのパラメータ化、選択submanifold、strain escapeの入力。,試料依存strainと遷移強度の位相を別途保持する必要。
S04,補強・NVフォノン,最重要,NV-,2009,Observation of the dynamic Jahn-Teller effect in the excited states of nitrogen-vacancy centers in diamond,K.-M. C. Fu et al.,"Physical Review Letters 103, 256404",10.1103/PhysRevLett.103.256404,,https://doi.org/10.1103/PhysRevLett.103.256404,NV光学遷移の温度依存dephasingにdynamic Jahn-Tellerが支配的であることを示す。,温度による線幅増大の一般説明は既知。,Gamma_opt(T)とmerged-manifold近似の物理的根拠。,Ge proportional to Iまで自動的に保証するものではない。
S05,補強・NVフォノン,高,NV-,2015,Phonon-induced population dynamics and intersystem crossing in nitrogen-vacancy centers,M. L. Goldman et al.,"Physical Review Letters 114, 145502",10.1103/PhysRevLett.114.145502,,https://doi.org/10.1103/PhysRevLett.114.145502,励起manifold内のphonon遷移とISCを直接測定。,population mixingのみを新規なno-go根拠にできない。,Liouvillianのjump項、branch mixing、population redistributionの入力。,coherent optical kernelとpopulation dynamicsを混同しない。
S06,補強・NV温度依存,最重要,NV-,2023,Temperature-dependent photophysics of single NV centers in diamond,J. Happacher et al.,"Physical Review Letters 131, 086904",10.1103/PhysRevLett.131.086904,2302.00011,https://doi.org/10.1103/PhysRevLett.131.086904,cryogenicからambientまでの温度依存photophysicsとorbital averagingを測定。,温度によるeffective excited-state変化は既報。,Gamma_XY(T)、orbital averaging、C(T) crossoverの実験入力・照合。,EIT contrastを直接測った論文ではない。
S07,補強・総説,必読,NV-,2013,The nitrogen-vacancy colour centre in diamond,M. W. Doherty et al.,"Physics Reports 528, 1-45",10.1016/j.physrep.2013.02.001,,https://doi.org/10.1016/j.physrep.2013.02.001,NV電子構造、対称性、光学・spin選択則の標準総説。,C3v表現とselection ruleの記述自体は既知。,NVへのWigner-Eckart/point-group reductionの基礎引用。,提案するthermal closure theoremは含まれない。
S08,補強・第一原理,高,NV-,2017,Ab initio calculation of spin-orbit coupling for an NV center in diamond exhibiting dynamic Jahn-Teller effect,G. Thiering; A. Gali,"Physical Review B 96, 081115(R)",10.1103/PhysRevB.96.081115,,https://doi.org/10.1103/PhysRevB.96.081115,NVのspin-orbitとJahn-Tellerを第一原理的に評価。,微視的Hamiltonianの既知パラメータを再計算するだけでは弱い。,H_e、Ham reduction、spin-orbital mixingの定量化。,dipole位相と全manifold completenessは別途検証。
S09,補強・線形状,中,NV-,2024,Optical lineshapes for orbital singlet to doublet transitions in a dynamic Jahn-Teller system,A. Silkinis et al.,"Physical Review B 110, 075303",10.1103/PhysRevB.110.075303,,https://doi.org/10.1103/PhysRevB.110.075303,dynamic Jahn-Teller系の光学線形状を微視的に扱う。,Gamma_optを単一Lorentzianで置く近似が不十分な可能性。,"非Markov自己エネルギーSigma_e(omega,T)への拡張。",EIT kernelそのものの論文ではない。
S10,補強・第一原理,最重要,SiV-/GeV-/SnV-/PbV-,2018,Ab initio magneto-optical spectrum of group-IV vacancy color centers in diamond,G. Thiering; A. Gali,"Physical Review X 8, 021063",10.1103/PhysRevX.8.021063,,https://doi.org/10.1103/PhysRevX.8.021063,group-IV vacancyの電子構造、spin-orbit、Jahn-Teller、光学選択則の主要入力。,group-IVパラメータ代入だけでは新規性は限定的。,SiV orbital-Lambdaのeta_geom計算を独立再現する入力。,電子モデルのeta_geom≈1をvibronic完全モデルで再検証する必要。
S11,補強・フォノン,高,SiV-,2015,Electron-phonon processes of the silicon-vacancy centre in diamond,K. D. Jahnke et al.,"New Journal of Physics 17, 043011",10.1088/1367-2630/17/4/043011,1411.2871,https://doi.org/10.1088/1367-2630/17/4/043011,SiV orbital relaxationと温度依存coherenceの基礎。,geometry goだけで室温EIT可能とは結論できない。,gamma_orb(T)をpower/coherence budgetへ入れる。,resolved cryogenic regimeのデータ中心。
S12,補強・strain,高,SiV-,2018,Strain engineering of the silicon-vacancy center in diamond,S. Meesala et al.,"Physical Review B 97, 205444",10.1103/PhysRevB.97.205444,,https://doi.org/10.1103/PhysRevB.97.205444,static strainでSiV電子構造を制御。,strainによる準位選択の提案自体は既知。,selected-submanifold escapeとground orbital splitting制御の現実性評価。,strainでdipole geometryとdecoherenceが同時に変化する。
S13,補強・group-IV比較,中,group-IV centers,2024,Coherence of group-IV color centers,I. B. W. Harris et al.,"Physical Review B 109, 085414",10.1103/PhysRevB.109.085414,,https://doi.org/10.1103/PhysRevB.109.085414,group-IV vacancy familyのcoherenceを比較・モデル化。,材料taxonomyは既存比較論文との差別化が必要。,geometry、optical broadening、ground coherenceを分離した材料mapの入力。,dark-state interferenceのsymmetry kernelを直接評価しない。
S14,補強・escape機構,中,NV-,2018,Orbital state manipulation of a diamond nitrogen-vacancy center using a mechanical resonator,H. Y. Chen et al.,"Physical Review Letters 120, 167401",10.1103/PhysRevLett.120.167401,,https://doi.org/10.1103/PhysRevLett.120.167401,mechanical strainでNV orbital statesを操作。,strain/mechanical selectionというescape route自体は先行あり。,Ge != gIを能動的に作る実験的経路の引用。,室温Gamma_optを上回るselective splittingの実現性は別評価。
A01,適用・実証,最重要,SiV-,2014,All-optical formation of coherent dark states of silicon-vacancy spins in diamond,B. Pingault et al.,"Physical Review Letters 113, 263601",10.1103/PhysRevLett.113.263601,,https://doi.org/10.1103/PhysRevLett.113.263601,SiVでdark-state/CPTを実証。,SiVにdark stateがあること自体は新規でない。,group-IV適用の実験anchor。ただしresolved spin-Lambdaとmerged orbital-Lambdaを区別。,提案PDFのeta_geom≈1主張を直接検証する実験ではない。
A02,適用・実証,高,SiV-,2014,"All-optical initialization, readout, and coherent preparation of single silicon-vacancy spins in diamond",L. J. Rogers et al.,"Physical Review Letters 113, 263602",10.1103/PhysRevLett.113.263602,,https://doi.org/10.1103/PhysRevLett.113.263602,単一SiV spinのall-optical coherent preparation。,SiV optical Lambdaの基礎実証は既知。,実用Lambda選定、branching、polarizationの照合。,高温merged limitとは異なる。
A03,適用・実証,高,SiV-,2025,Coherent population trapping and spin relaxation of a silicon vacancy center in diamond at millikelvin temperatures,Y. Wu et al.,"Physical Review B 111, 035421",10.1103/PhysRevB.111.035421,2409.14856,https://doi.org/10.1103/PhysRevB.111.035421,SiV CPTとspin relaxationをmKで精密評価。,低温SiV CPT予測だけでは競争力が弱い。,Liouvillianモデルとground-state decoherenceのbenchmark。,room-temperatureやmerged-manifoldの検証ではない。
A04,適用・予測候補,高,SnV-,2021,Quantum control of the tin-vacancy spin qubit in diamond,R. Debroux et al.,"Physical Review X 11, 041041",10.1103/PhysRevX.11.041041,,https://doi.org/10.1103/PhysRevX.11.041041,SnV spin qubitのcoherent controlと熱的robustness。,SnVを表に加えるだけでは不十分。,同じgroup-IV symmetryでもspin-Lambda/orbital-Lambdaを分けてkernel計算。,EIT/CPTの直接実証ではないため『予測照合』扱い。
A05,適用・最新実証,最重要,PbV-,2026,Coherent dark state formation of a lead-vacancy spin qubit in diamond,Y. Chen et al.,arXiv:2605.27841v2,,2605.27841,https://arxiv.org/abs/2605.27841,PbVでCPT dark stateを実証し、7.5 Kで長いspin lifetimeを報告。,group-IV goの実証例として最新かつ強い競争相手。,PbVへの適用、温度robustness、resolved spin-Lambdaとgeneral theoremの関係を検討。,2026年6月時点のpreprint。室温merged orbital-Lambdaの実証ではない。
A06,適用・実証,最重要,4H-SiC divacancy,2015,All-optical coherent population trapping with defect spin ensembles in silicon carbide,O. V. Zwier; D. O'Shea; A. R. Onur; C. H. van der Wal,"Scientific Reports 5, 10931",10.1038/srep10931,1411.1366,https://doi.org/10.1038/srep10931,SiC divacancy ensembleでCPTを実証。,SiCへの適用可能性は実験的に既知。,orientation selection、複数ground levels、ISCを含む適用試験。,basal-plane oriented subsetを選択しており、full-manifold averageとは異なる。
A07,適用・直接実証,最重要,SiC divacancy ensemble,2022,Electromagnetically induced transparency in inhomogeneously broadened divacancy defect ensembles in SiC,O. V. Zwier et al.,"Journal of Applied Physics 131, 094401",10.1063/5.0077112,2203.09869,https://doi.org/10.1063/5.0077112,不均一広がり・多ground levelsを持つSiCで高visibility EITを実証しLindbladモデルと比較。,『固体多準位・不均一広がりに適用可能』という主張の直接先行。,提案kernelの最優先外部benchmark。実験geometryを再現してKとcontrastを比較。,熱的complete-manifold mergingとstatic inhomogeneous broadeningを区別。
A08,適用・実証,高,Pr3+:Y2SiO5,2002,Observation of ultraslow and stored light pulses in a solid,A. V. Turukhin et al.,"Physical Review Letters 88, 023602",10.1103/PhysRevLett.88.023602,,https://doi.org/10.1103/PhysRevLett.88.023602,希土類結晶でultraslow/stored lightをEITにより実証。,希土類を単純なgo例とすることは妥当だが新規ではない。,empirical go anchor。結晶場/hyperfine sublevelsでp†cが非零となる条件を逆算。,低温・spectral preparationに依存。
A09,適用・実証,高,Pr3+:Y2SiO5,2005,Stopped light with storage times greater than one second using electromagnetically induced transparency in a solid,J. J. Longdell; E. Fraval; M. J. Sellars; N. B. Manson,"Physical Review Letters 95, 063601",10.1103/PhysRevLett.95.063601,quant-ph/0506233,https://doi.org/10.1103/PhysRevLett.95.063601,希土類固体EITで1秒超のstorage。,長寿命ground coherenceの重要性は確立済み。,geometry goとcoherence budgetが別条件であることを示す代表例。,thermal merged electronic manifoldの問題設定とは異なる。
A10,適用・実証,中,Pr3+:Y2SiO5,2013,Stopped light and image storage by electromagnetically induced transparency up to the regime of one minute,G. Heinze; C. Hubrich; T. Halfmann,"Physical Review Letters 111, 033601",10.1103/PhysRevLett.111.033601,,https://doi.org/10.1103/PhysRevLett.111.033601,EIT storageを1分領域へ拡張。,dark-state寿命の最適化自体は別の成熟分野。,Liouville-space decoherenceと実用性能の重要性を補強。,主にmemory protocolであり、材料no-go判定とは異なる。
A11,適用・実証,中,希土類結晶,2016,Stopped light at high storage efficiency in a crystal,D. Schraft et al.,"Physical Review Letters 116, 073602",10.1103/PhysRevLett.116.073602,,https://doi.org/10.1103/PhysRevLett.116.073602,希土類結晶で高効率EIT storage。,contrastだけでなくoptical depthと準備効率が必要。,observableをeta_geomだけに還元しないための実用benchmark。,ensemble preparationとpropagationを含む。
A12,適用・室温実証,最重要,結晶固体,2005,Coherent population trapping in a crystalline solid at room temperature,R. Kolesov,"Physical Review A 72, 051801(R)",10.1103/PhysRevA.72.051801,physics/0505051,https://doi.org/10.1103/PhysRevA.72.051801,室温結晶固体でCPTを報告。,『固体の室温dark-state interference』を一般に不可能とは言えない。,NV固有no-goと一般固体goを区別する最重要empirical anchor。,材料・遷移機構を全文確認し、提案分類へ正確に配置する必要。
A13,適用・実証,高,単一量子ドット,2008,Coherent population trapping of an electron spin in a single negatively charged quantum dot,X. Xu et al.,"Nature Physics 4, 692-695",10.1038/nphys1054,0805.2074,https://doi.org/10.1038/nphys1054,単一荷電量子ドットでelectron-spin CPTを実証。,quantum dotをgo候補に挙げるだけでは既知。,hole/electron spin mixing、trion manifold、偏光selection ruleでkernelを計算。,強いmagnetic-field geometryとresolved trion transitionに依存。
A14,適用・実証,中,n-GaAs donor spins,2005,Coherent population trapping of electron spins in a high-purity n-type GaAs semiconductor,K.-M. C. Fu; C. Santori; C. Stanley; M. C. Holland; Y. Yamamoto,"Physical Review Letters 95, 187405",10.1103/PhysRevLett.95.187405,,https://doi.org/10.1103/PhysRevLett.95.187405,半導体donor-bound electron spinsでCPTを実証。,半導体への一般適用は先行あり。,ensemble・inhomogeneous broadening下のkernel/contrast検証。,defect-localized solid emitterとは電子構造が異なる。
A15,適用・候補評価,中,hBN spin defects,2021,Room temperature coherent control of spin defects in hexagonal boron nitride,A. Gottscholl et al.,"Science Advances 7, eabf3630",10.1126/sciadv.abf3630,,https://doi.org/10.1126/sciadv.abf3630,hBN spin defectの室温coherent controlを実証。,室温spin coherenceはあるがEIT/CPT実証とは別。,hBNを候補から除外せず、まずoptical Lambdaとdipole tensorを同定する根拠。,直接のEIT evidenceではないため『適用候補』に限定。
A16,適用・候補評価,中,hBN optical emitters,2024,Probing the limits for coherent optical control of a mechanically decoupled defect center in hexagonal boron nitride,M. K. Koch; V. Bharadwaj; A. Kubanek,"Communications Materials 5, 240",10.1038/s43246-024-00686-y,,https://doi.org/10.1038/s43246-024-00686-y,hBN単一発光体のoptical coherence、spectral diffusion、temperature dependenceを評価。,hBNへの適用にはdefect identityとlevel schemeの不確実性が大きい。,Gamma_opt(T)と非Markov dephasingの候補入力。,2準位optical coherence研究でありEIT/CPTを直接示さない。
A17,適用・実証,高,donor-bound spins in semiconductor,2010,Electromagnetically induced transparency with an ensemble of donor-bound electron spins in a semiconductor,M. Sladkov et al.,"Physical Review B 82, 121308(R)",10.1103/PhysRevB.82.121308,,https://doi.org/10.1103/PhysRevB.82.121308,半導体donor-bound spin ensembleでEITを実証。,固体spin ensembleへのEIT適用は既知。,ensemble broadening、optical pumping、ground coherenceを含む外部benchmark。,材料対称性よりもensemble spectroscopyが主眼。
